,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
32,CHACO,MENDEZ - POMPEI (HUMANISTA),1872,0.0040999999999999995
33,CHACO,MUSSA - HERRERA (ALIANZA SOCIAL CRISTIANA),1520,0.0033
34,CHACO,REYNA - MOCCIA (ALIANZA FRENTE DE LA RESISTENCIA),1352,0.003
35,CHACO,MONTES - HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),813,0.0018
36,CHACO,ALTAMIRA - RIEZNIK (OBRERO),775,0.0017000000000000001
37,CHUBUT,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",104134,0.5574
38,CHUBUT,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),56741,0.3037
39,CHUBUT,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),21469,0.1149
40,CHUBUT,MENDEZ -    POMPEI (HUMANISTA),1270,0.0068000000000000005
41,CHUBUT,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),1029,0.0055000000000000005
42,CHUBUT,ALTAMIRA -    RIEZNIK (OBRERO),779,0.0042
43,CHUBUT,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),744,0.004
44,CHUBUT,MONTES -    HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),640,0.0034000000000000002
45,CORDOBA,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION)",790103,0.47229999999999994
46,CORDOBA,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - UNION DEL CENTRO DEMOCRATICO),672671,0.4021
47,CORDOBA,CAVALLO - CARO FIGUEROA (ACCION POR LA REPUBLICA),168365,0.10060000000000001
48,CORDOBA,WALSH - DE LEONARDI (ALIANZA IZQUIERDA UNIDA),12279,0.0073
49,CORDOBA,ALTAMIRA - RIEZNIK (OBRERO),9341,0.005600000000000001
50,CORDOBA,MENDEZ - POMPEI (HUMANISTA),8620,0.0052
51,CORDOBA,REYNA - MOCCIA (FRENTE DE LA RESISTENCIA),4164,0.0025
52,CORDOBA,QUARRACINO - REARTE (SOCIALISTA AUTENTICO),1914,0.0011
53,CORDOBA,MONTES - HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),3178,0.0019
54,CORDOBA,MUSSA - HERRERA (ALIANZA SOCIAL CRISTIANA),2392,0.0014000000000000002
55,CORRIENTES,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION - ALIANZA PACTO AUTONOMISTA LIBERAL DEMOCRATA PROGRESISTA)",205831,0.4728
56,CORRIENTES,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - NUEVO),187054,0.42969999999999997
57,CORRIENTES,CAVALLO - CARO FIGUEROA (ACCION POR LA REPUBLICA),36891,0.08470000000000001
58,CORRIENTES,REYNA  - MOCCIA (ALIANZA FRENTE DE LA RESISTENCIA - CORRIENTE    PATRIA LIBRE),1684,0.0039000000000000003
59,CORRIENTES,MENDEZ - POMPEI (HUMANISTA),1015,0.0023
60,CORRIENTES,WALSH - DE LEONARDI (ALIANZA IZQUIERDA UNIDA - COMUNISTA),924,0.0021
61,CORRIENTES,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),690,0.0016
62,CORRIENTES,ALTAMIRA    - RIEZNIK (OBRERO),685,0.0016
63,CORRIENTES,MONTES - HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),546,0.0013
64,ENTRE RIOS,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",332142,0.5141
65,ENTRE RIOS,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - TODO POR ENTRE RIOS),263967,0.4086
66,ENTRE RIOS,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),38055,0.058899999999999994
67,ENTRE RIOS,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA - COMUNISTA),3144,0.0049
68,ENTRE RIOS,MENDEZ -    POMPEI (HUMANISTA),2370,0.0037
69,ENTRE RIOS,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),2217,0.0034000000000000002
70,ENTRE RIOS,ALTAMIRA - RIEZNIK (OBRERO),1537,0.0024
71,ENTRE RIOS,QUARRACINO - REARTE (SOCIALISTA AUTENTICO),1400,0.0022
72,ENTRE RIOS,MONTES - HERNANDEZ (DE LOS    TRABAJADORES SOCIALISTAS),1035,0.0016
73,ENTRE RIOS,REYNA - MOCCIA (FRENTE DE LA    RESISTENCIA),197,0.0003
74,FORMOSA,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO),97359,0.4885
75,FORMOSA,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION)",94147,0.47229999999999994
76,FORMOSA,CAVALLO - CARO FIGUEROA (ACCION POR LA REPUBLICA),5168,0.0259
77,FORMOSA,MENDEZ - POMPEI (HUMANISTA),897,0.0045000000000000005
78,FORMOSA,REYNA - MOCCIA (FRENTE DE LA RESISTENCIA),819,0.0040999999999999995
79,FORMOSA,MUSSA - HERRERA (ALIANZA SOCIAL CRISTIANA),487,0.0024
80,FORMOSA,ALTAMIRA - RIEZNIK (OBRERO),444,0.0022
81,JUJUY,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",133504,0.5078
82,JUJUY,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),116352,0.4426
83,JUJUY,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),10941,0.0416
84,JUJUY,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),902,0.0034000000000000002
